title,summary,published,link,source,country,language
Jeremy Bowen: Goodwill running out as allies demand that Israel end Gaza offensive,"France, the UK and Canada are among nations that have sharpened their criticism of Israel's ground offensive.","Tue, 20 May 2025 06:03:52 GMT",https://www.bbc.com/news/articles/cn9j1052p2yo,feeds.bbci.co.uk,UK,en
Ministers consider easing winter fuel payment cuts,"Options under discussion include changing eligibility, or restoring the payments to all pensioners.","Tue, 20 May 2025 13:56:59 GMT",https://www.bbc.com/news/articles/czr883ly337o,feeds.bbci.co.uk,UK,en
What does the UK-EU deal mean for holidays and jobs? Your questions answered,"We have been answering questions on the trade deal submitted via Your Voice, Your BBC News.","Tue, 20 May 2025 14:43:20 GMT",https://www.bbc.com/news/articles/cy8nnxrzr07o,feeds.bbci.co.uk,UK,en
"Spain orders Airbnb to take down 66,000 listings as mass tourism backlash returns","The Spanish government calls for the removal of almost 66,000 property listings saying they breach tourism rules.","Tue, 20 May 2025 12:48:43 GMT",https://www.bbc.com/news/articles/c3wdd8lg581o,feeds.bbci.co.uk,UK,en
Second man charged over fires at homes linked to Starmer,"Stanislav Carpiuc, 26, has been charged with conspiracy to commit arson with intent to endanger life, police say.","Tue, 20 May 2025 14:56:28 GMT",https://www.bbc.com/news/articles/c3088p85pero,feeds.bbci.co.uk,UK,en
"Her bravery shone through, says family of firefighter who died in business park blaze","Firefighters Jennie Logan and Martyn Sadler, along with father Dave Chester, died in the fire.","Tue, 20 May 2025 13:11:23 GMT",https://www.bbc.com/news/articles/cj3jjed70zeo,feeds.bbci.co.uk,UK,en
Supplier to major supermarkets hit by cyber attack,"Logistics firm Peter Green Chilled supplies major supermarkets, but it is relatively small compared to its rivals.","Tue, 20 May 2025 11:08:05 GMT",https://www.bbc.com/news/articles/czr88myp570o,feeds.bbci.co.uk,UK,en
"Girl, 11, who drowned at water park unlawfully killed, inquest rules","Kyra Hill, 11, drowned during a birthday party at the park near Windsor in August 2022.","Tue, 20 May 2025 15:01:05 GMT",https://www.bbc.com/news/articles/cyvmme1q035o,feeds.bbci.co.uk,UK,en
Ryanair tells flight attendants in Spain to repay salary rises after union wins court case,"The Irish airline is pursuing members of a Spanish union to hand back up to €3,000 following a ruling.","Tue, 20 May 2025 14:56:54 GMT",https://www.bbc.com/news/articles/cpqeelw04e9o,feeds.bbci.co.uk,UK,en
"Man who helped smuggle more than 3,000 people into Europe jailed for 25 years",Ahmed Ebid is believed to be the first person from the UK convicted of organising boat crossings across the Mediterranean.,"Tue, 20 May 2025 15:01:03 GMT",https://www.bbc.com/news/articles/ce399l1329lo,feeds.bbci.co.uk,UK,en
Zelensky accuses Russia of 'buying time' to stall truce talks,"It follows Donald Trump saying Russia and Ukraine will ""immediately"" start negotiating, after a two-hour phone call with Vladimir Putin.","Tue, 20 May 2025 12:51:03 GMT",https://www.bbc.com/news/articles/cvgddel17kvo,feeds.bbci.co.uk,UK,en
"At least 38 killed by Israeli strikes in Gaza in half-hour period, medics say","Fighter jets hit sites including a school in Gaza City, the Hamas-run civil defence agency says.","Tue, 20 May 2025 08:04:36 GMT",https://www.bbc.com/news/articles/cwy67y8834yo,feeds.bbci.co.uk,UK,en
"Gazan babies will die without aid, UN humanitarian chief warns","About 14,000 babies will die in 48 hours if aid does not reach them, a UN humanitarian chief warns.","Tue, 20 May 2025 09:09:06 GMT",https://www.bbc.com/news/videos/cdr550j818po,feeds.bbci.co.uk,UK,en
"UK, France and Canada threaten action against Israel over Gaza","The UK, France and Canada ""strongly oppose"" Benjamin Netanyahu's expansion of military operations, a statement from their leaders said.","Tue, 20 May 2025 03:47:29 GMT",https://www.bbc.com/news/articles/czxy19n4kpyo,feeds.bbci.co.uk,UK,en
Five unanswered questions in UK-EU deal,A youth visa scheme and how much the UK will contribute financially are among issues still being negotiated,"Tue, 20 May 2025 14:10:31 GMT",https://www.bbc.com/news/articles/clyz2jegmm3o,feeds.bbci.co.uk,UK,fr
I'm a sex worker in Scotland. Plans for a new law could jeopardise my safety,Alba MSP Ash Regan's bill would change the law to make it an offence to pay for sexual services.,"Tue, 20 May 2025 09:45:26 GMT",https://www.bbc.com/news/articles/cx2xw1xrq4lo,feeds.bbci.co.uk,UK,en
Can AI therapists really be an alternative to human help?,"With NHS mental health waitlists at record highs, are chatbots a possible solution?","Mon, 19 May 2025 23:04:34 GMT",https://www.bbc.com/news/articles/ced2ywg7246o,feeds.bbci.co.uk,UK,en
Biden's cancer diagnosis raises fresh questions about his health in White House,"The news that he has ""aggressive"" prostate cancer has some medics asking why it was not detected sooner.","Tue, 20 May 2025 13:07:53 GMT",https://www.bbc.com/news/articles/cwyn0zm8d20o,feeds.bbci.co.uk,UK,en
Scientists in a race to discover why our Universe exists,"Researchers in the US and Japan are competing to explain the existence of the planets, stars and galaxies.","Mon, 19 May 2025 23:11:21 GMT",https://www.bbc.com/news/articles/cjwvgevjjl6o,feeds.bbci.co.uk,UK,en
British teen Bella Culley is behind bars in Georgia. What is life like inside her prison?,"Bella Culley, 18, is being held in a Georgian prison after being charged with drug offences.","Tue, 20 May 2025 05:26:50 GMT",https://www.bbc.com/news/articles/cp3q4zwxg30o,feeds.bbci.co.uk,UK,en
The £100m final Man Utd cannot afford to lose?,"Manchester United play ""the most financially important match in the club's history"" against Tottenham on Wednesday - BBC sports editor Dan Roan explains why it is one they cannot afford to lose.","Tue, 20 May 2025 05:13:13 GMT",https://www.bbc.com/sport/football/articles/cly3wed9de5o,feeds.bbci.co.uk,UK,en
Wife of Tory councillor loses appeal against jail sentence for racist Southport post,"Lucy Connolly called for migrant hotels to be ""set on fire"" on the day of the Southport attacks.","Tue, 20 May 2025 11:21:59 GMT",https://www.bbc.com/news/articles/c3v5926yeqro,feeds.bbci.co.uk,UK,en
"Coastlines in danger even if climate target met, scientists warn","The goal of limiting warming to 1.5C is too high to avoid continued sea-level rise, scientists warn.","Tue, 20 May 2025 09:21:04 GMT",https://www.bbc.com/news/articles/cj93e40znl3o,feeds.bbci.co.uk,UK,nl
British man claims record-breaking fastest run across Australia,"William Goodge ran from Perth to Sydney in 35 days, running the equivalent of 2.5 marathons each day.","Tue, 20 May 2025 07:43:17 GMT",https://www.bbc.com/news/articles/cm265m72l5jo,feeds.bbci.co.uk,UK,en
Tommy Robinson to be released from prison early,"Stephen Yaxley-Lennon, also known as Tommy Robinson, has his sentence reduced by four months.","Tue, 20 May 2025 11:01:16 GMT",https://www.bbc.com/news/articles/cn0gg8y2r1zo,feeds.bbci.co.uk,UK,en
Fortnite faces complaint from actors' union over AI Darth Vader,Sag-Aftra says the hit video game has used tech to replace human performers.,"Tue, 20 May 2025 10:36:25 GMT",https://www.bbc.com/news/articles/cn844l3eznqo,feeds.bbci.co.uk,UK,en
"Cyber attack threat keeps me awake at night, bank boss says","Ian Stuart, from HSBC, said banks were spending ""enormous"" sums shoring up their IT systems.","Tue, 20 May 2025 13:50:18 GMT",https://www.bbc.com/news/articles/c4g3372vl3yo,feeds.bbci.co.uk,UK,en
Iran's Khamenei doubts US nuclear talks will lead to agreement,"""We don't think it will lead to any outcome,"" the supreme leader warns, saying the US is making ""outrageous"" demands on uranium enrichment.","Tue, 20 May 2025 12:13:41 GMT",https://www.bbc.com/news/articles/cp855k42wpko,feeds.bbci.co.uk,UK,en
